,Time Stamp,Username,Topic,Text,Direction,Views,Cmt.Num,Like
0,1528357863.0,Forex_Academy,Dogecoin rebound in play,"
Dogecoin increased a little on the short term after the failure to stay below the upper  median line  (uml) of the descending  pitchfork . The next target it will be at the downtrend line and the second one at the warning line (wl1). A broader rebound will be confirmed only by a valid breakout above these lines. Another drop will be confirmed by a valid breakdown below the WL1.
",Long,27,0,1
1,1528316142.0,Forex_Academy,"DOGE, buyers pressure ahead.","
DOGE continues its slow rise in the chart and it seems that it has already exceeded the 100-EMA today and although it had a high  volume , the result was a  volatility  that only gave higher long shadow candles that indicate dominance of the buyers. In this 4 hour chart we see how the last candle can be definitive in the price direction, a close above the 100-EMA can indicate buyer's pressure and a possible long entry.
",,48,0,1
2,1516689677.0,fzavalatjc,Created a Crypto Index using several coins. ,"
Created a custom crypto index using several coins and found that its currently resting at the 100 daily moving average creating a good entry for those on the sidelines, its also resting at  Fibonacci cluster  I worked out by running some symmetrical swings. I'm holding.  
",Long,1310,3,3
3,1527879980.0,Forex_Academy,"DOGE, trying to leave the CPP","
DOGE, number 47 in the cryptocurrency ranking has been showing  bearish  throughout the day and has lost -2.18% in the last 24 hours. The pair has not been able to move very far from the Central  Pivot Point  due to the low  volume  and the immediate supports of the day are $ 0.003282 $ 0.003200. A close of the next candle above the Central  Pivot Point  could give the pair a boost to look for resistances in the green zone in the short term and the 50% of the  Fibonacci Retracement  as the final target.
",,108,0,1
4,1525973977.0,ripple10usd,DOGE/USD Bull Flag ?,"
Best alt party indicator. If it breaks down it might be good idea to exit altcoins. 
If it breaks out all in alts.
",Long,164,0,2
5,1526217638.0,AlphaGeeni,DOGE/USD,"
Levels
",,55,0,0
6,1525727676.0,YuyuCoyotte,"Get ready, doge is going to fly. ","
Adam and eve,  bullish pennant . 
",Long,226,3,1
7,1525415274.0,Fxshcool,DOGEUSD,"
Look for break up and pull back to buy doge again!
",Long,171,2,2
8,1524849653.0,Cocombre,Doge Cup end handle whit Bull Flag,"
.
",Long,119,0,0
9,1528189423.0,nicsahab,#Doge coin to soar ? #DogeCoin #DogeUsd #BTC $Doge @dogecoin ,"
no comment ! i'm on Long side .
",Long,104,0,4
10,1528212418.0,altcoinpapi,Alt Season: An Idea,"
Almost decision time - surgical summer or ramen szn?
",,65,1,2
11,1521120482.0,Wave-Trader,DOGEUSD Dont miss it ,"




Mar 15




Hi there, Dont miss it. Huge potential is there.  

Good Luck 






Mar 26





Comment:












Apr 17





Comment:












May 24





Comment:












May 24





Comment:










",Long,2415,3,46
12,1527665058.0,GODFELTON,Dogecoin UP OR DOWN ?,"
RED IS MY PREDITION UP AND PURPLE IS DOWN. WHAT YOU THINK ?
",Long,117,0,4
13,1527049930.0,supermaxpax3d,Doge/ Dollar ~ Bitcoin,"
A lot of altcoins behave like  bitcoin -0.74% , the market gives many opportunities to earn, try and do not regret
",Long,182,0,2
14,1525728169.0,altcoinpapi,$doge alt szn indicator,"
alt szn continue sir?
",,119,0,0
