ID,Tweet,Time,User,Likes,Replies,Retweet,in_response_to,response_type
1015647288918568961,#STR recent interview. About #Thalaivar #SuperStar #Rajinikanthpic.twitter.com/HEXuBW5OQg,1530984158,PSKK1990,525,4,250,0,reply
1015661422288633856,"தலைவன் #STR 
#VTV Shooting spot pic.twitter.com/4K1ia7UQST",1530987527,de7456bc26b0464,38,0,15,0,reply
,,,StellarOverload,0,0,0,,tweet
1015637831539150850,"FlipNpik Asia CEO Ian Lin tells you why you should join our project:

 Website : https://flipnpik.io/ 
 Join our Telegram : https://t.me/flipnpikico 
#FlipNpik #ICO #Stellar #Crypto #Altcoin #BuyLocal #GoLocal #FNPpic.twitter.com/I2MSTb3HJz",1530981903,FlipNpik,64,0,20,0,reply
1015717128794755072,I have many people in my heart that unfortunately aren't in my life.,1531000809,Str8pwrAce,48,0,20,0,reply
1015550791267028992,"Warming up for Stellar's arrival!!! 

 #StellarGrandAlbumLaunchpic.twitter.com/nHoVO5EB6Z",1530961151,MARNIGO_Revive,81,1,47,0,reply
1015595695758168065,"A special appearionce 
#Katrinmozhi movie
 #STR anna pic.twitter.com/n3Ps1qBlaR",1530971857,simbu_prakash,128,1,31,0,reply
1015585214796451840,"Awaiting #KaatrinMozhi FDFS to witness Thalaivan #STR 's cameo ! 
#Simbu #Jyothikapic.twitter.com/Z1CdepXees",1530969358,STR_360,291,0,64,0,reply
1015652648152858625,How long have we been adrift?,1530985435,str_voyage,61,0,30,0,reply
1015599329535406081,#STR to make a special appearance in #KaatrinMozhi movie starring #Jyothika. They both have also worked together in #Maniratnam 's #ChekkaChivanthaVaanam #CCV #Simbupic.twitter.com/McNJehaI2u,1530972723,SSiddhiq,54,0,15,0,reply
1015589299713015808,"STELLAR #StellarGrandAlbumLaunch 

Styled by #TeamRyujiShiomitsupic.twitter.com/NNCO50vyL1",1530970332,ryujishiomitsu,930,3,364,0,reply
1015583694415847424,"HEY THAT'S MY STELLAR!!!

#StellarGrandAlbumLaunchpic.twitter.com/MNfGE2gQ1u",1530968996,ignaciorzld,154,0,89,0,reply
1015605931604783104,#STR #Simbu plays a cameo in #Jyothika 's #KaatrinMozhi ! Semma pic.twitter.com/oIXja2IVQ3,1530974297,CCV_online,39,0,15,0,reply
1015535432875085824,"The BT Tower looking STELLAR in the morning sunshine! 
#PrideInLondon | #PrideMatterspic.twitter.com/Bncfa1cqhu",1530957489,PrideInLondon,246,4,77,0,reply
1015583088506650630,"#STR to make a special appearance in #Jyothika 's #KaatrinMozhi movie. #Simbu 

On spot clicks!pic.twitter.com/ykaoybZtTh",1530968851,STRFansTrends,261,0,60,0,reply
1015581652657926144,#KaatrinMozhi shoot - A special appearance by none other than STR pic.twitter.com/QTn0XTI1Up,1530968509,SimbuLive,222,1,49,0,reply
1015625749196242944,Stardust Galaxy Warriors: Stellar Climax is coming to #NintendoSwitch!pic.twitter.com/VCvN84qavm,1530979022,NinSwitchNews,55,2,11,0,reply
1015575211419332608,Maris Racal Grand Album Launch #Stellar https://www.facebook.com/starmusicph/videos/1985529714790456/ …,1530966973,StarMusicPH,236,5,92,0,reply
1015727707391430656,I decided to follow the trend #facesofthecliquepic.twitter.com/12rlaJupmu,1531003331,trash_pilots,9,1,0,0,reply
1015567341588017155,"Truly, Stellar! Congrats to our dear Nessa! Your #GMOunit family is so proud of you. #StellarGrandAlbumLaunch #MarisRacal https://www.instagram.com/p/Bk7gaWXnjST/?utm_source=ig_twitter_share&igshid=phsqsdkktgqw …",1530965097,GMOunit,488,3,276,0,reply
1015569986222526464,stellar performer of the year. pic.twitter.com/ljvWZGWkX2,1530965727,AreebaLalehKhan,93,2,23,0,reply
1015550791267028992,"Warming up for Stellar's arrival!!! 

 #StellarGrandAlbumLaunchpic.twitter.com/nHoVO5EB6Z",1530961151,MARNIGO_Revive,81,1,47,0,reply
1015549816883986433,"Slayyyy my queen!

#StellarGrandAlbumLaunchpic.twitter.com/jbqhZEIVp6",1530960919,yesitsmeLye,41,0,49,0,reply
1015543376358223874,"Tweet and spread 
#StellarGrandAlbumLaunch
@MissMarisRacalpic.twitter.com/NqpaPYHBuG",1530959383,Mariestellersss,205,1,133,0,reply
1015529929398616064,"Maris Racal's debut album, Stellar will be released in digital stores tomorrow! 

@MissMarisRacal #StellarGrandAlbumLaunchpic.twitter.com/rOUBvWm8SH",1530956177,SenyoraMaris,168,0,118,0,reply
1015519033041477632,"M A R I S 

The Coming of a Stellar Age 

#StellarGrandAlbumLaunchpic.twitter.com/f3NFbZKbWA",1530953579,fanboyislife,135,0,106,0,reply
1015505912524500992,"Ang taray ng list, hashtag and tagline both trending!

#StellarGrandAlbumLaunch 

We are so proud of you 
 MARIS STELLAR SOLD OUT @MissMarisRacalpic.twitter.com/YDmha4f4H0",1530950451,StayHappyStella,71,0,78,0,reply
1015501240174665728,"This photo makes me wanna cry. You've done so well @MissMarisRacal
#StellarGrandAlbumLaunchpic.twitter.com/oq1LvOad7F",1530949337,MsStellarM,106,0,84,0,reply
1015492924996370432,"Two tags trending :

#StellarGrandAlbumLaunchpic.twitter.com/GdXyesKe9y",1530947354,StayHappyStella,50,0,63,0,reply
1015484922566332419,"Delighted to see Stellar hammering out her songs with Chen and TJ of Unit 406! Gig toooo!!!

#StellarGrandAlbumLaunchpic.twitter.com/5RHZCB1SEH",1530945446,Alco_Guerrero,809,1,333,0,reply
1015466492911972352,"Thanks Ms. @anakarylle
#StellarGrandAlbumLaunchpic.twitter.com/tOUlUkYvgA",1530941053,StayHappyStella,126,0,90,0,reply
